Date, Hydropower
2017-11-26, 2400.00
2017-11-27, 2400.00
2017-11-28, 2400.00
2017-11-29, 2400.00
2017-11-30, 2400.00
2017-12-01, 2400.00
2017-12-02, 2400.00
2017-12-03, 2359.04
2017-12-04, 2297.24
2017-12-05, 2113.75
2017-12-06, 626.95
2017-12-07, 627.37
2017-12-08, 626.64
2017-12-09, 624.88
2017-12-10, 623.10
2017-12-11, 2178.48
