Date, Elevation(ft)
2017-11-24, 1489.23
2017-11-25, 1487.76
2017-11-26, 1486.98
2017-11-27, 1487.69
2017-11-28, 1489.29
2017-11-29, 1490.46
2017-11-30, 1491.04
2017-12-01, 1489.63
2017-12-02, 1488.97
2017-12-03, 1489.02
2017-12-04, 1488.85
2017-12-05, 1488.56
2017-12-06, 1488.13
2017-12-07, 1487.70
2017-12-08, 1487.14
2017-12-09, 1484.37
