Date, Release
2017-11-26, 5661.65
2017-11-27, 6372.11
2017-11-28, 7049.41
2017-11-29, 7542.98
2017-11-30, 8999.99
2017-12-01, 8868.46
2017-12-02, 7826.93
2017-12-03, 9000.00
2017-12-04, 5340.71
2017-12-05, 5011.30
2017-12-06, 1500.00
2017-12-07, 1500.00
2017-12-08, 1500.00
2017-12-09, 1500.00
2017-12-10, 1501.12
2017-12-11, 5329.58
