Date, Elevation, RC Elevation
2017-11-25, 1494.83, 1464.77
2017-11-26, 1492.92, 1462.43
2017-11-27, 1492.66, 1460.04
2017-11-28, 1491.11, 1457.62
2017-11-29, 1487.14, 1455.14
2017-11-30, 1480.75, 1452.60
2017-12-01, 1473.08, 1450.00
2017-12-02, 1464.52, 1450.00
2017-12-03, 1457.25, 1450.00
2017-12-04, 1452.37, 1450.00
2017-12-05, 1449.59, 1450.00
2017-12-06, 1450.13, 1450.00
2017-12-07, 1449.89, 1450.00
2017-12-08, 1449.71, 1450.00
2017-12-09, 1448.92, 1450.00
2017-12-10, 1444.79, 1450.00
