Date, Release(cfs)
2017-11-24, 5340.20
2017-11-25, 1500.00
2017-11-26, 3996.69
2017-11-27, 4596.99
2017-11-28, 5239.14
2017-11-29, 1517.55
2017-11-30, 4249.06
2017-12-01, 4043.20
2017-12-02, 1500.00
2017-12-03, 1500.00
2017-12-04, 1500.00
2017-12-05, 1500.00
2017-12-06, 1500.00
2017-12-07, 1500.00
2017-12-08, 1500.00
2017-12-09, 5339.87
