Date Time,DET.Flow-In.Ave.~1Day.1Day.Best [cfs]
29-Jun-2014 23:00,1260.000
30-Jun-2014 23:00,1160.000
01-Jul-2014 23:00,1110.000
02-Jul-2014 23:00,1160.000
03-Jul-2014 23:00,1020.000
04-Jul-2014 23:00,970.000
05-Jul-2014 23:00,930.000
06-Jul-2014 23:00,890.000
07-Jul-2014 23:00,850.000
08-Jul-2014 23:00,890.000
09-Jul-2014 23:00,860.000
10-Jul-2014 23:00,850.000
11-Jul-2014 23:00,810.000
12-Jul-2014 23:00,790.000
13-Jul-2014 23:00,770.000
14-Jul-2014 23:00,840.000
15-Jul-2014 23:00,790.000
16-Jul-2014 23:00,740.000
17-Jul-2014 23:00,720.000
18-Jul-2014 23:00,770.000
19-Jul-2014 23:00,750.000
20-Jul-2014 23:00,780.000
21-Jul-2014 23:00,720.000
22-Jul-2014 23:00,710.000
23-Jul-2014 23:00,860.000
24-Jul-2014 23:00,840.000
25-Jul-2014 23:00,790.000
26-Jul-2014 23:00,680.000
27-Jul-2014 23:00,690.000
28-Jul-2014 23:00,710.000
29-Jul-2014 23:00,680.000
30-Jul-2014 23:00,750.000
31-Jul-2014 23:00,630.000
01-Aug-2014 23:00,-170.000
02-Aug-2014 23:00,650.000
03-Aug-2014 23:00,630.000
04-Aug-2014 23:00,590.000
05-Aug-2014 23:00,620.000
06-Aug-2014 23:00,590.000
07-Aug-2014 23:00,590.000
08-Aug-2014 23:00,530.000
09-Aug-2014 23:00,630.000
10-Aug-2014 23:00,590.000
11-Aug-2014 23:00,600.000
12-Aug-2014 23:00,550.000
13-Aug-2014 23:00,570.000
14-Aug-2014 23:00,620.000
15-Aug-2014 23:00,630.000
16-Aug-2014 23:00,630.000
17-Aug-2014 23:00,580.000
18-Aug-2014 23:00,560.000
19-Aug-2014 23:00,540.000
20-Aug-2014 23:00,560.000
21-Aug-2014 23:00,510.000
22-Aug-2014 23:00,530.000
23-Aug-2014 23:00,540.000
24-Aug-2014 23:00,530.000
25-Aug-2014 23:00,570.000
26-Aug-2014 23:00,510.000
27-Aug-2014 23:00,510.000
28-Aug-2014 23:00,520.000
29-Aug-2014 23:00,470.000
30-Aug-2014 23:00,580.000
31-Aug-2014 23:00,600.000
01-Sep-2014 23:00,1080.000
02-Sep-2014 23:00,510.000
03-Sep-2014 23:00,560.000
04-Sep-2014 23:00,550.000
05-Sep-2014 23:00,520.000
06-Sep-2014 23:00,520.000
07-Sep-2014 23:00,530.000
08-Sep-2014 23:00,500.000
09-Sep-2014 23:00,520.000
10-Sep-2014 23:00,500.000
11-Sep-2014 23:00,480.000
12-Sep-2014 23:00,480.000
13-Sep-2014 23:00,480.000
14-Sep-2014 23:00,500.000
15-Sep-2014 23:00,500.000
16-Sep-2014 23:00,500.000
17-Sep-2014 23:00,510.000
18-Sep-2014 23:00,540.000
19-Sep-2014 23:00,570.000
20-Sep-2014 23:00,560.000
21-Sep-2014 23:00,480.000
22-Sep-2014 23:00,540.000
23-Sep-2014 23:00,570.000
24-Sep-2014 23:00,860.000
25-Sep-2014 23:00,600.000
26-Sep-2014 23:00,660.000
27-Sep-2014 23:00,690.000
28-Sep-2014 23:00,760.000
29-Sep-2014 23:00,650.000
30-Sep-2014 23:00,680.000
01-Oct-2014 23:00,1950.000
02-Oct-2014 23:00,600.000
03-Oct-2014 23:00,630.000
04-Oct-2014 23:00,590.000
05-Oct-2014 23:00,630.000
06-Oct-2014 23:00,590.000
07-Oct-2014 23:00,630.000
08-Oct-2014 23:00,590.000
09-Oct-2014 23:00,560.000
10-Oct-2014 23:00,600.000
11-Oct-2014 23:00,590.000
12-Oct-2014 23:00,600.000
13-Oct-2014 23:00,560.000
14-Oct-2014 23:00,750.000
15-Oct-2014 23:00,850.000
16-Oct-2014 23:00,740.000
17-Oct-2014 23:00,540.000
18-Oct-2014 23:00,30.000
19-Oct-2014 23:00,430.000
20-Oct-2014 23:00,900.000
21-Oct-2014 23:00,620.000
22-Oct-2014 23:00,1310.000
23-Oct-2014 23:00,2420.000
24-Oct-2014 23:00,1170.000
25-Oct-2014 23:00,940.000
26-Oct-2014 23:00,1730.000
27-Oct-2014 23:00,1640.000
28-Oct-2014 23:00,1180.000
29-Oct-2014 23:00,1700.000
30-Oct-2014 23:00,1150.000
31-Oct-2014 23:00,2690.000
01-Nov-2014 23:00,4050.000
03-Nov-2014 00:00,1370.000
04-Nov-2014 00:00,1470.000
05-Nov-2014 00:00,1870.000
06-Nov-2014 00:00,1960.000
07-Nov-2014 00:00,1600.000
08-Nov-2014 00:00,1460.000
09-Nov-2014 00:00,1220.000
10-Nov-2014 00:00,1240.000
11-Nov-2014 00:00,1090.000
12-Nov-2014 00:00,990.000
13-Nov-2014 00:00,900.000
14-Nov-2014 00:00,1410.000
15-Nov-2014 00:00,2820.000
16-Nov-2014 00:00,2100.000
17-Nov-2014 00:00,1610.000
18-Nov-2014 00:00,1420.000
19-Nov-2014 00:00,1230.000
20-Nov-2014 00:00,1130.000
21-Nov-2014 00:00,1340.000
22-Nov-2014 00:00,2910.000
23-Nov-2014 00:00,9010.000
24-Nov-2014 00:00,5480.000
25-Nov-2014 00:00,4480.000
26-Nov-2014 00:00,5210.000
27-Nov-2014 00:00,4940.000
28-Nov-2014 00:00,4030.000
29-Nov-2014 00:00,7450.000
30-Nov-2014 00:00,9140.000
01-Dec-2014 00:00,5380.000
02-Dec-2014 00:00,6560.000
03-Dec-2014 00:00,3340.000
04-Dec-2014 00:00,3000.000
05-Dec-2014 00:00,3340.000
06-Dec-2014 00:00,3820.000
07-Dec-2014 00:00,3940.000
08-Dec-2014 00:00,3280.000
09-Dec-2014 00:00,2680.000
10-Dec-2014 00:00,2510.000
11-Dec-2014 00:00,2720.000
12-Dec-2014 00:00,3010.000
13-Dec-2014 00:00,2560.000
14-Dec-2014 00:00,2320.000
15-Dec-2014 00:00,1530.000
16-Dec-2014 00:00,1970.000
17-Dec-2014 00:00,1780.000
18-Dec-2014 00:00,1680.000
19-Dec-2014 00:00,1540.000
20-Dec-2014 00:00,1960.000
21-Dec-2014 00:00,6900.000
22-Dec-2014 00:00,24170.000
23-Dec-2014 00:00,14910.000
