Basin 1,3.32E-01,4.01E-03
Basin 2,6.93E-02,1.94E-03
Basin 3,1.33E-01,2.05E-03
Basin 4,1.09E-01,2.73E-03
Basin 5,3.43E-02,1.11E-03
Basin 6,1.93E-01,2.31E-03
Basin 7,9.86E-02,1.54E-03
Basin 8,2.02E-01,2.18E-03
Basin 9,7.94E-02,1.31E-03
Basin 10,6.38E-02,8.34E-04
Basin 11,2.36E-02,6.18E-04
Basin 12,6.15E-03,4.06E-04
Basin 13,5.16E-02,2.64E-03
Basin 14,3.90E-02,1.75E-03
Basin 15,3.85E-02,2.20E-03
Basin 16,3.06E-02,8.20E-04
Basin 17,2.98E-03,2.25E-04
Basin 18,6.73E-08,1.77E-08
